method,clusterer,k,silhouette_internal,n_noise,silhouette_phylum,silhouette_family,silhouette_genus
PCA-10d,kmeans,2,0.41634005,0,0.06793327629566193,0.22364985942840576,0.4286406934261322
NMF-10d,kmeans,10,0.38047415,0,0.10361296683549881,0.27425384521484375,0.453503280878067
Autoencoder-2d,kmeans,2,0.65065753,0,-0.09661085903644562,-0.19741377234458923,0.004126406740397215
UMAP-tuned-2d,kmeans,5,0.7233526,0,-0.1601838916540146,0.13763338327407837,0.3148140609264374
UMAP-semisup-2d,kmeans,3,0.7339026,0,-0.17973284423351288,0.11970683187246323,0.3643997609615326
4mer-cosine,agglomerative,2,0.54695344,0,0.07493247091770172,0.2430821806192398,0.4150999188423157
UMAP-tuned-2d,hdbscan,13,0.644484,3,,,
